Ion Storm;United States
Irem;Japan
Iron Galaxy Studios;United States
Irrational Games;United States
Jadestone Group;Sweden
Jagex;United Kingdom
Jaleco;Japan
Javaground;United States
JoWood Entertainment AG;Austria
Juice Games;United Kingdom
Jupiter;Japan
JV Games;United States
Kairosoft;Japan
Kalypso Media;Germany
Kaos Studios;United States
Keen Software House;Czech Republic
Kiloo Games;Denmark
Koei;Japan
KOG Studios;Republic of Korea
Konami;Japan
Kongzhong;China
Krome Studios;Australia
Krome Studios Melbourne;Australia
Kuju Entertainment;United Kingdom
Kush Games;United States
Kuma Reality Games;United States
Larian Studios;Belgium
Legacy Interactive;United States
Legend Entertainment;United States
Legendo Entertainment;Sweden
LEGO Group;Denmark
Level-5;Japan
Lionhead Studios;United Kingdom
Liquid Entertainment;United States
Little Green Men Games;Croatia
LK Avalon;Poland
Llamasoft;United Kingdom
Linden Lab;United States
Looking Glass Studios;United States
LucasArts;United States
Luma Arcade;South Africa
Luxoflux;United States
MachineGames;Sweden
Magenta Software;United Kingdom
Majesco Entertainment;United States
Marvelous Entertainment;Japan
Massive Entertainment;Sweden
Masthead Studios;Bulgaria
Maxis Software;United States
Mean Hamster Software;United States
Media Molecule;United Kingdom
Mediatonic;United Kingdom
MegaZebra;Germany
Mercury Steam;Spain
Metropolis Software;Poland
MicroProse Software;United States
Microsoft Studios;United States
Midway Games;United States
Milestone;Japan
Milestone S.r.l.;Italy
Mind Candy;United Kingdom
Mistwalker;Japan
Mitchell Corporation;Japan
Mojang AB;Sweden
Monolith Productions;United States
Monolith Soft;Japan
Mythic Entertainment;United States
Nadeo;France
Nanobit;Croatia
Natsume;Japan
Naughty Dog;United States
NCsoft;Republic of Korea
NDOORS Corporation;Republic of Korea
Neowiz;Republic of Korea
Nerve Software;United States
NetDevil;United States
Netdragon;China
Netease;China
NetherRealm Studios;United States
Neversoft;United States
Nexon;Republic of Korea
Next Level Games;Canada
NGD Studios;Argentina
Nibris;Poland
Nihon Falcom;Japan
Ninjabee;United States
Ninja Theory;United Kingdom
Nintendo;Japan
Nippon Ichi Software;Japan
Nordeus;Serbia
Novalogic;United States
Novarama;Spain
n-Space;United States
Obsidian Entertainment;United States
Oddworld Inhabitants;United States
Omega Force;Japan
Origin Systems;United States
Outrage Entertainment;United States
Overkill Software;Sweden
Oxygen Studios;United Kingdom
Page 44 Studios;United States
Pangea Software;United States
Project Sora;Japan
Papaya Studio;United States
Project Soul;Japan
Panther Games Pty Ltd;Australia
Paradox Development Studio;Sweden
Parallax Software;United States
Pandemic Studios;United States
Pendulo Studios;Spain
Penguin Software;United States
Perfect World;China
Petroglyph;United States
Phantagram;Republic of Korea
Phenomic Game Development;Germany
Piranha Bytes;Germany
Pi Studios;United States
Pivotal Games;United Kingdom
Pixel Press;United States
Playdom;United States
Playfish;United Kingdom
PlayFirst;United States
Playground Games;United Kingdom
PlatinumGames;Japan
Polyphony Digital;Japan
PopCap Games;United States
Press Play;Denmark
Punch Entertainment;United States
Pyro Studios;Spain
Q Entertainment;Japan
Q-Games;Japan
Quantic Dream;France
Radical Entertainment;Canada
Rage Software;United Kingdom
Rainbow Studios;United States
Rare;United Kingdom
Raven Software;United States
Red Entertainment;Japan
Reality Pump Studios;Poland
Realtime Associates;United States
Realtime Worlds;United Kingdom
Rebellion Developments;United Kingdom
RedLynx;Finland
Red Thread Games;Norway
Red Storm Entertainment;United States
Redtribe;Australia
Reflections Interactive;United Kingdom
Reflexive Entertainment;United States
Relic Entertainment;Canada
Remedy Entertainment;Finland
Respawn Entertainment;United States
Reto-Moto;Denmark
Retro Studios;United States
Revolution Software;United Kingdom
Riot Games;United States
Rising Star Games;United Kingdom
Robot Entertainment;United States
Rockstar Games;United States
Rocksteady Studios;United Kingdom
Robinson Technologies;Japan
Rovio Entertainment;Finland
Ruffian Games;United Kingdom
Runic Games;United States
Running With Scissors;United States
Sand Grain Studios;Romania
Sanuk Games;Thailand
SCS Software;Czech Republic
Sega;United States
Serious Games Interactive;Denmark
Sega AM2;Japan
SIE Foster City Studio;United States
SIE Japan Studio;Japan
SIE London Studio;United Kingdom
SIE San Diego Studio;United States
SIE Santa Monica Studio;United States
SCE Studio Liverpool;United Kingdom
