"ID","NAME","RELEASE_DATE","IMAGE_URL"
"66","Madden NFL 2002","Aug-19-2001","https://upload.wikimedia.org/wikipedia/en/a/a0/Madden_NFL_2002_Coverart.png"
"70","The Legend of Zelda: Ocarina of Time 3D","Jun-19-2011","https://upload.wikimedia.org/wikipedia/en/3/30/The_Legend_of_Zelda_Ocarina_of_Time_3D_box_art.png"
"71","Chrono Cross","Aug-15-2000","https://upload.wikimedia.org/wikipedia/en/9/9a/Chronocrossbox.jpg"
"75","Madden NFL 2004","Aug-12-2003","https://upload.wikimedia.org/wikipedia/en/9/98/Madden2004box.jpg"
"76","Gears of War","Nov-7-2006","N/A"
"77","The Elder Scrolls IV: Oblivion","Mar-20-2006","https://upload.wikimedia.org/wikipedia/en/4/4b/The_Elder_Scrolls_IV_Oblivion_cover.png"
"78","Civilization II","Feb-29-1996","https://upload.wikimedia.org/wikipedia/en/7/73/Civ2boxart.jpg"
"82","Halo 3","Sep-25-2007","https://upload.wikimedia.org"
"83","Ninja Gaiden Black","Sep-20-2005","https://upload.wikimedia.org/wikipedia/en/1/1d/Ninja_Gaiden_%282004_video_game%29.png"
"85","Street Fighter IV","Feb-17-2009","https://upload.wikimedia.org/wikipedia/en/0/06/Street_Fighter_IV_%28flyer%29.jpg"
"86","Super Mario Advance 4: Super Mario Bros. 3","Oct-21-2003","https://upload.wikimedia.org/wikipedia/en/2/2f/Super_Mario_Advance_4.png"
"87","Jet Grind Radio","Oct-30-2000","https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Jetsetradiopalboxart.jpg/384px-Jetsetradiopalboxart.jpg"
"88","Metal Gear Solid","Oct-21-1998","https://upload.wikimedia.org/wikipedia/en/3/33/Metal_Gear_Solid_cover_art.png"
"89","Grim Fandango","Sep-30-1998","https://upload.wikimedia.org/wikipedia/en/7/76/Grim_Fandango_artwork.jpg"
"90","Tom Clancy's Splinter Cell Chaos Theory","Mar-28-2005","https://upload.wikimedia.org/wikipedia/en/1/17/Tom_Clancy's_Splinter_Cell_-_Chaos_Theory_Coverart.png"
"91","Burnout 3: Takedown","Sep-7-2004","https://upload.wikimedia.org/wikipedia/en/9/93/Burnout_3_-_Takedown_Coverart.jpg"
"93","Metal Gear Solid 3: Subsistence","Mar-14-2006","https://upload.wikimedia.org/wikipedia/en/b/b3/Mgs3box.jpg"
"95","Metal Gear Solid 4: Guns of the Patriots","Jun-12-2008","https://upload.wikimedia.org/wikipedia/en/4/4b/Mgs4us_cover_small.jpg"
"96","NCAA Football 2004","Jul-16-2003","https://upload.wikimedia.org/wikipedia/en/b/b7/NCAA_Football_2004_Coverart.jpg"
"97","God of War","Mar-22-2005","N/A"
"98","Star Wars: Knights of the Old Republic","Jul-17-2003","https://upload.wikimedia.org/wikipedia/en/1/11/Kotorbox.jpg"
"99","Sid Meier's Civilization IV","Oct-25-2005","https://upload.wikimedia.org/wikipedia/en/7/7e/CivIVboxshot.jpg"
"101","Virtua Fighter 4","Mar-17-2002","https://upload.wikimedia.org/wikipedia/en/6/67/Virtua-fighter-4-box.jpg"
"102","Super Mario 64","Sep-26-1996","https://upload.wikimedia.org/wikipedia/en/6/6a/Super_Mario_64_box_cover.jpg"
